tanggal,pm10,so2,co,o3,no2
1/1/2015,49,7,18,26,10
1/2/2015,25,7,10,25,10
1/3/2015,27,6,12,36,10
1/4/2015,22,5,10,38,12
1/5/2015,21,5,8,27,7
1/6/2015,29,7,11,27,11
1/7/2015,32,7,11,35,12
1/8/2015,29,6,10,36,13
1/9/2015,23,6,8,32,7
1/10/2015,25,6,9,38,8
1/11/2015,26,6,7,41,11
1/12/2015,26,7,23,37,13
1/13/2015,45,5,26,28,18
1/14/2015,41,5,24,34,16
1/15/2015,39,4,27,36,20
1/16/2015,50,5,20,33,15
1/17/2015,39,5,13,40,13
1/18/2015,44,5,23,45,18
1/19/2015,54,5,20,41,16
1/20/2015,70,5,51,48,21
1/21/2015,44,8,43,40,16
1/22/2015,43,6,35,30,15
1/23/2015,49,5,42,33,19
1/24/2015,52,5,67,41,21
1/25/2015,59,20,23,45,18
1/26/2015,59,20,23,45,18
1/27/2015,59,20,23,45,18
1/28/2015,59,20,23,45,18
1/29/2015,55,7,20,35,14
1/30/2015,52,5,15,39,13
1/31/2015,54,5,17,36,15
2/1/2015,42,5,16,30,12
2/2/2015,59,6,48,38,21
2/3/2015,59,6,40,38,15
2/4/2015,58,5,33,36,23
2/5/2015,41,5,19,32,16
2/6/2015,59,5,16,34,13
2/7/2015,51,6,18,39,14
2/8/2015,49,6,18,32,12
2/9/2015,59,8,14,34,14
2/10/2015,59,9,23,13,18
2/11/2015,59,9,23,37,18
2/12/2015,61,9,36,40,19
2/13/2015,34,10,27,36,15
2/14/2015,7,8,35,40,16
2/15/2015,31,6,38,37,12
2/16/2015,6,6,56,35,18
2/17/2015,12,5,22,36,13
2/18/2015,8,5,34,43,24
2/19/2015,11,7,16,41,13
2/20/2015,29,7,29,40,20
2/21/2015,24,9,60,57,20
2/22/2015,18,8,28,57,12
2/23/2015,8,11,16,46,12
2/24/2015,18,11,29,46,17
2/25/2015,15,7,24,56,18
2/26/2015,17,7,28,82,31
2/27/2015,10,7,29,75,21
2/28/2015,66,6,38,39,19
3/1/2015,73,6,34,36,14
3/2/2015,57,8,15,38,18
3/3/2015,62,10,20,44,18
3/4/2015,59,11,36,38,19
3/5/2015,51,10,17,38,15
3/6/2015,66,13,29,47,16
3/7/2015,59,13,19,37,15
3/8/2015,59,9,18,36,15
3/9/2015,59,20,23,45,18
3/10/2015,46,8,14,56,14
3/11/2015,44,7,19,43,14
3/12/2015,43,8,17,39,12
3/13/2015,66,7,36,35,18
3/14/2015,70,7,26,36,13
3/15/2015,64,6,17,48,14
3/16/2015,55,6,22,42,15
3/17/2015,56,6,20,44,15
3/18/2015,62,7,22,79,25
3/19/2015,59,6,24,58,26
3/20/2015,53,6,24,69,30
3/21/2015,40,6,21,67,16
3/22/2015,58,6,25,78,17
3/23/2015,53,6,31,69,28
3/24/2015,73,6,28,47,19
3/25/2015,69,7,32,37,18
3/26/2015,56,7,32,34,21
3/27/2015,62,7,29,57,20
3/28/2015,56,6,23,47,17
3/29/2015,59,7,27,50,12
3/30/2015,56,6,32,44,17
3/31/2015,49,6,24,45,18
4/1/2015,57,6,32,48,21
4/2/2015,67,6,29,44,22
4/3/2015,51,7,32,43,15
4/4/2015,71,7,29,71,21
4/5/2015,69,7,34,69,18
4/6/2015,63,7,37,51,20
4/7/2015,45,20,26,31,12
4/8/2015,46,9,26,56,19
4/9/2015,69,10,38,40,23
4/10/2015,75,14,40,64,39
4/11/2015,49,15,20,57,15
4/12/2015,56,15,27,59,25
4/13/2015,74,14,35,56,17
4/14/2015,64,14,30,52,23
4/15/2015,59,14,29,51,18
4/16/2015,70,14,33,71,21
4/17/2015,58,15,27,33,16
4/18/2015,66,22,28,54,19
4/19/2015,83,18,30,68,18
4/20/2015,55,17,28,98,21
4/21/2015,64,17,31,79,30
4/22/2015,63,16,27,56,19
4/23/2015,30,15,11,46,10
4/24/2015,26,15,9,39,7
4/25/2015,29,15,10,40,11
4/26/2015,36,16,18,43,15
4/27/2015,28,16,10,37,7
4/28/2015,34,15,11,42,12
4/29/2015,32,15,11,42,12
4/30/2015,39,15,16,46,13
5/1/2015,40,15,15,70,20
5/2/2015,57,16,19,61,15
5/3/2015,56,16,21,57,22
5/4/2015,51,16,40,54,16
5/5/2015,63,20,55,62,23
5/6/2015,71,20,45,44,22
5/7/2015,51,20,29,60,15
5/8/2015,63,20,25,47,12
5/9/2015,78,20,27,70,16
5/10/2015,48,20,16,60,19
5/11/2015,54,20,28,47,15
5/12/2015,66,20,28,54,15
5/13/2015,61,20,27,50,15
5/14/2015,56,20,22,45,13
5/15/2015,58,20,29,28,16
