tanggal,pm10,so2,co,o3,no2
1/1/2015,34,10,24,10,6
1/2/2015,20,9,9,19,4
1/3/2015,23,10,11,35,4
1/4/2015,20,9,14,29,4
1/5/2015,25,9,10,15,4
1/6/2015,20,9,10,18,4
1/7/2015,28,10,18,19,4
1/8/2015,24,10,8,21,3
1/9/2015,22,10,7,18,3
1/10/2015,22,10,8,18,3
1/11/2015,34,11,10,26,5
1/12/2015,37,11,19,15,11
1/13/2015,33,11,25,20,9
1/14/2015,31,11,32,11,13
1/15/2015,27,10,29,20,13
1/16/2015,57,16,29,37,9
1/17/2015,35,11,16,38,14
1/18/2015,36,11,29,34,12
1/19/2015,52,11,22,52,11
1/20/2015,64,13,60,52,13
1/21/2015,48,12,30,52,8
1/22/2015,45,11,24,15,10
1/23/2015,44,10,39,9,18
1/24/2015,65,13,67,12,15
1/25/2015,35,11,15,13,7
1/26/2015,53,14,34,17,9
1/27/2015,60,12,36,17,9
1/28/2015,57,14,39,42,15
1/29/2015,40,13,19,16,10
1/30/2015,40,12,28,18,9
1/31/2015,35,14,13,19,6
2/1/2015,70,23,15,52,12
2/2/2015,70,23,15,52,12
2/3/2015,70,23,15,52,12
2/4/2015,70,23,15,52,12
2/5/2015,70,23,15,52,12
2/6/2015,70,23,15,52,12
2/7/2015,70,23,15,52,12
2/8/2015,70,23,15,52,12
2/9/2015,70,23,15,52,12
2/10/2015,70,23,15,52,12
2/11/2015,70,23,15,52,12
2/12/2015,70,23,15,52,12
2/13/2015,70,23,15,52,12
2/14/2015,28,13,56,52,10
2/15/2015,35,13,43,52,11
2/16/2015,20,13,39,52,12
2/17/2015,7,13,29,34,11
2/18/2015,70,13,35,66,13
2/19/2015,70,13,25,35,10
2/20/2015,70,14,23,52,15
2/21/2015,98,15,47,52,14
2/22/2015,71,15,27,52,11
2/23/2015,63,16,22,52,10
2/24/2015,70,17,37,12,13
2/25/2015,85,20,43,98,11
2/26/2015,87,19,27,111,21
2/27/2015,83,16,23,114,13
2/28/2015,78,17,29,34,16
3/1/2015,86,16,38,26,13
3/2/2015,57,17,22,30,11
3/3/2015,45,19,17,50,8
3/4/2015,52,16,32,31,11
3/5/2015,45,14,18,42,10
3/6/2015,62,17,30,69,10
3/7/2015,53,15,17,59,11
3/8/2015,46,14,22,28,8
3/9/2015,50,15,29,45,15
3/10/2015,49,14,30,58,12
3/11/2015,38,14,26,56,7
3/12/2015,35,16,14,48,7
3/13/2015,64,16,44,49,18
3/14/2015,72,17,40,43,8
3/15/2015,57,16,19,36,9
3/16/2015,53,14,40,71,10
3/17/2015,66,20,26,85,14
3/18/2015,70,18,31,52,14
3/19/2015,65,16,19,81,15
3/20/2015,57,15,17,77,15
3/21/2015,52,14,20,52,14
3/22/2015,63,16,36,52,16
3/23/2015,53,17,25,52,16
3/24/2015,76,17,17,14,13
3/25/2015,75,16,27,23,12
3/26/2015,60,13,34,12,18
3/27/2015,67,17,31,12,11
3/28/2015,68,14,28,12,16
3/29/2015,78,15,37,11,8
3/30/2015,69,14,30,47,8
3/31/2015,80,17,21,64,12
4/1/2015,65,13,25,76,12
4/2/2015,65,13,36,79,13
4/3/2015,50,14,39,45,12
4/4/2015,75,18,40,85,10
4/5/2015,75,19,44,59,9
4/6/2015,71,17,30,57,14
4/7/2015,57,17,12,24,6
4/8/2015,65,15,26,66,7
4/9/2015,64,14,38,61,11
4/10/2015,87,15,58,79,15
4/11/2015,59,17,19,60,9
4/12/2015,62,22,26,70,10
4/13/2015,62,16,27,61,11
4/14/2015,74,22,18,61,11
4/15/2015,60,17,24,62,15
4/16/2015,63,18,19,76,12
4/17/2015,61,18,21,36,11
4/18/2015,84,15,45,55,11
4/19/2015,83,16,32,92,13
4/20/2015,61,22,42,70,14
4/21/2015,74,16,26,81,14
4/22/2015,71,17,28,84,16
4/23/2015,40,16,12,27,7
4/24/2015,26,15,9,19,4
4/25/2015,28,15,9,28,5
4/26/2015,36,15,21,42,9
4/27/2015,46,15,34,67,9
4/28/2015,46,15,18,38,6
4/29/2015,50,23,15,52,12
4/30/2015,37,23,15,52,12
5/1/2015,56,17,16,92,9
5/2/2015,82,19,21,97,10
5/3/2015,65,18,27,93,14
5/4/2015,55,19,31,71,11
5/5/2015,64,18,42,52,12
5/6/2015,79,19,37,52,14
5/7/2015,59,18,15,52,9
5/8/2015,72,22,15,53,13
5/9/2015,83,15,27,58,11
5/10/2015,57,19,21,57,14
5/11/2015,65,23,15,52,9
5/12/2015,73,19,28,52,11
5/13/2015,75,18,23,63,13
5/14/2015,67,18,17,52,9
5/15/2015,58,17,18,52,8
5/16/2015,67,17,13,92,10
5/17/2015,67,17,15,52,42
5/18/2015,77,18,15,44,30
5/19/2015,80,18,15,36,17
5/20/2015,83,18,15,52,12
5/21/2015,87,18,15,25,14
5/22/2015,83,18,15,35,12
5/23/2015,93,18,15,36,9
5/24/2015,87,18,16,29,9
5/25/2015,83,20,16,52,11
5/26/2015,78,19,16,52,8
5/27/2015,96,20,15,42,15
5/28/2015,69,20,15,52,7
5/29/2015,70,20,15,52,7
5/30/2015,70,20,15,52,13
5/31/2015,70,20,15,52,9
6/1/2015,70,20,15,52,10
6/2/2015,89,20,15,42,11
6/3/2015,61,19,15,47,13
6/4/2015,79,19,15,31,9
6/5/2015,63,21,15,34,8
6/6/2015,79,25,11,59,10
6/7/2015,86,22,11,45,16
6/8/2015,85,21,15,35,14
6/9/2015,91,21,13,33,13
6/10/2015,71,22,13,31,13
6/11/2015,69,19,16,56,13
6/12/2015,71,20,15,66,14
6/13/2015,79,24,15,62,11
6/14/2015,89,23,11,59,10
6/15/2015,85,23,12,86,10
6/16/2015,92,28,12,98,11
6/17/2015,115,27,12,66,18
6/18/2015,83,26,7,56,12
6/19/2015,79,25,8,84,14
6/20/2015,79,24,7,77,11
6/21/2015,92,26,10,74,17
6/22/2015,98,24,8,65,20
6/23/2015,109,26,9,73,15
6/24/2015,75,24,10,81,10
6/25/2015,84,27,13,64,20
6/26/2015,83,25,8,49,14
6/27/2015,82,25,10,45,12
6/28/2015,72,25,7,67,9
6/29/2015,94,28,10,101,12
6/30/2015,95,30,8,86,11
7/1/2015,83,27,7,86,14
7/2/2015,86,28,10,93,15
7/3/2015,70,23,15,52,12
7/4/2015,70,23,15,52,12
7/5/2015,110,30,15,50,16
7/6/2015,84,23,15,52,12
7/7/2015,83,23,15,52,12
7/8/2015,81,26,8,89,11
7/9/2015,81,29,8,83,16
7/10/2015,73,29,6,66,16
7/11/2015,65,26,7,41,10
7/12/2015,63,26,5,44,9
7/13/2015,58,26,5,38,6
7/14/2015,70,26,6,31,7
7/15/2015,70,23,15,52,12
7/16/2015,55,26,4,41,7
7/17/2015,56,26,5,52,8
7/18/2015,52,24,5,52,6
7/19/2015,54,26,5,50,6
7/20/2015,55,26,5,52,7
7/21/2015,72,25,5,52,5
7/22/2015,62,26,5,52,7
7/23/2015,63,26,5,52,5
7/24/2015,59,26,4,52,6
7/25/2015,66,26,6,52,8
7/26/2015,110,28,8,52,30
7/27/2015,69,26,7,52,10
7/28/2015,65,27,6,52,8
7/29/2015,71,29,6,52,9
7/30/2015,80,28,7,52,12
7/31/2015,79,26,8,59,10
8/1/2015,81,32,11,63,15
8/2/2015,86,26,9,61,9
8/3/2015,67,27,7,47,12
8/4/2015,101,29,12,75,16
8/5/2015,91,29,8,57,15
8/6/2015,86,27,8,56,15
8/7/2015,62,26,7,82,10
