"nama_sarana_kesehatan";"kode_sarana_kesehatan";"kelurahan";"kecamatan";"jml_balita_ditimbang";"intervensi_yang_diberikan";"status_gizi_kurang";"status_gizi_buruk";"status_gizi_stunting";"status_gizi_lebih";"pemberian_vit_a";"mendapatkan_pelayanan_kesehatan_sesuai_standar";"jumlah_balita_yang_memiliki_tingkat_kecukupan_gizi_makro_minimal_80%_akg"
"Puskesmas Tembok Dukuh";"1033335";"Alun-Alun Contong";"Bubutan";"204";"";"0";"0";"2";"0";"";"";""
"Puskesmas Sidotopo";"1033331";"Ampel";"Semampir";"951";"";"4";"0";"7";"16";"";"";""
"Puskesmas Mojo";"1033296";"Airlangga";"Gubeng";"901";"";"0";"0";"1";"0";"";"";""
"Puskesmas Benowo";"1033308";"Babat Jerawat";"Pakal";"1482";"";"0";"0";"4";"0";"";"";""
"Puskesmas Wiyung";"1033302";"Babatan";"Wiyung";"827";"";"0";"0";"10";"0";"";"";""
"Puskesmas Balongsari";"1033311";"Balongsari";"Tandes";"787";"";"0";"0";"4";"0";"";"";""
"Puskesmas Asemrowo";"1033340";"Asemrowo";"Asemrowo";"2153";"";"263";"6";"20";"172";"";"";""
"Puskesmas Balas Klumprik";"1033303";"Balas Klumprik";"Wiyung";"837";"";"12";"0";"19";"83";"";"";""
"Puskesmas Sidosermo";"1033284";"Bendul Merisi";"Wonocolo";"923";"";"0";"0";"10";"0";"";"";""
"Puskesmas Bangkingan";"1033306";"Bangkingan";"Lakarsantri";"593";"";"6";"0";"9";"73";"";"";""
"Puskesmas Manukan Kulon";"1033310";"Banjar Sugihan";"Tandes";"493";"";"11";"0";"1";"65";"";"";""
"Puskesmas Banyu Urip";"1033314";"Banyu Urip";"Sawahan";"2228";"";"18";"2";"11";"2";"";"";""
"Puskesmas Benowo";"1033308";"Benowo";"Pakal";"777";"";"0";"0";"8";"0";"";"";""
"Puskesmas Made";"1033309";"Beringin";"Sambikerep";"460";"";"3";"0";"6";"27";"";"";""
"Puskesmas Bulak Banteng";"1033328";"Bulak Banteng";"Kenjeran";"2868";"";"17";"0";"38";"14";"";"";""
"Puskesmas Perak Timur";"1033334";"Bongkaran";"Pabean Cantian";"366";"";"8";"0";"4";"49";"";"";""
"Puskesmas Dukuh Kupang";"1033301";"Dukuh Pakis";"Dukuh Pakis";"468";"";"15";"1";"5";"60";"";"";""
"Puskesmas Jagir";"1033297";"Darmo";"Wonokromo";"631";"";"33";"2";"3";"103";"";"";""
"Puskesmas Dr. Soetomo";"1033318";"Dr. Soetomo";"Tegalsari";"234";"";"34";"5";"4";"33";"";"";""
"Puskesmas Dukuh Kupang";"1033301";"Dukuh Kupang";"Dukuh Pakis";"495";"";"0";"0";"4";"5";"";"";""
