tanggal,pm10,so2,co,o3,no2
1/1/2023,44,56,16,20,19
1/2/2023,34,59,15,21,19
1/3/2023,28,57,13,21,16
1/4/2023,31,60,17,21,26
1/5/2023,40,53,10,18,7
1/6/2023,50,51,10,11,7
1/7/2023,49,51,6,10,4
1/8/2023,45,51,6,10,3
1/9/2023,46,51,9,10,6
1/10/2023,50,50,8,10,6
1/11/2023,36,54,14,23,12
1/12/2023,43,54,15,26,14
1/13/2023,51,55,15,28,15
1/14/2023,54,54,17,19,19
1/15/2023,47,54,12,15,11
1/16/2023,39,54,7,10,2
1/17/2023,51,55,8,8,12
1/18/2023,57,57,9,8,3
1/19/2023,40,54,16,7,10
1/20/2023,57,55,9,9,3
1/21/2023,43,54,14,10,10
1/22/2023,45,53,13,9,9
1/23/2023,27,62,8,17,9
1/24/2023,33,60,11,17,14
1/25/2023,37,60,10,13,14
1/26/2023,40,56,9,12,2
1/27/2023,59,56,8,10,2
1/28/2023,44,54,14,7,17
1/29/2023,53,54,20,8,11
1/30/2023,51,53,14,14,13
1/31/2023,56,54,16,15,20
2/1/2023,55,55,8,12,2
2/2/2023,52,53,12,9,3
2/3/2023,24,63,6,11,3
2/4/2023,35,89,11,9,11
2/5/2023,10,79,10,12,8
2/6/2023,41,54,11,12,4
2/7/2023,38,54,12,12,10
2/8/2023,44,53,15,7,15
2/9/2023,44,53,13,7,10
2/10/2023,24,53,7,11,1
2/11/2023,38,53,12,8,9
2/12/2023,33,53,12,8,10
2/13/2023,35,53,14,7,8
2/14/2023,31,53,11,7,6
2/15/2023,20,53,6,9,1
2/16/2023,30,54,7,6,1
2/17/2023,30,53,7,9,1
2/18/2023,51,27,11,14,14
2/19/2023,60,27,13,13,14
2/20/2023,42,13,7,7,15
2/21/2023,33,13,6,6,7
2/22/2023,29,13,6,9,1
2/23/2023,50,27,11,8,14
2/24/2023,22,14,8,15,5
2/25/2023,46,14,7,18,5
2/26/2023,40,27,8,15,12
2/27/2023,46,27,7,16,15
2/28/2023,46,14,7,17,4
3/1/2023,38,50,8,19,27
3/2/2023,29,47,11,21,27
3/3/2023,34,14,7,11,2
3/4/2023,40,14,7,14,3
3/5/2023,46,28,9,8,11
3/6/2023,39,14,6,7,7
3/7/2023,48,14,7,11,9
3/8/2023,60,15,7,11,4
3/9/2023,50,30,13,14,20
3/10/2023,51,34,11,20,14
3/11/2023,49,29,11,20,23
3/12/2023,64,30,16,14,22
3/13/2023,64,31,11,23,16
3/14/2023,58,40,15,17,11
3/15/2023,50,30,9,15,19
3/16/2023,59,30,19,15,20
3/17/2023,52,30,16,16,18
3/18/2023,56,30,10,23,17
3/19/2023,61,32,12,20,16
3/20/2023,57,16,16,41,18
3/21/2023,59,31,11,21,17
3/22/2023,60,31,7,22,16
3/23/2023,63,33,13,15,11
3/24/2023,57,35,11,25,13
3/25/2023,53,32,11,18,22
3/26/2023,49,31,11,14,14
3/27/2023,38,31,16,12,13
3/28/2023,55,32,18,7,18
3/29/2023,60,32,21,13,20
3/30/2023,49,33,17,12,15
3/31/2023,45,49,13,22,29
4/1/2023,34,51,11,20,19
4/2/2023,35,34,5,10,6
4/3/2023,53,33,8,15,15
4/4/2023,51,35,6,11,8
4/5/2023,52,36,7,26,16
4/6/2023,56,35,6,24,16
4/7/2023,47,37,5,22,15
4/8/2023,57,35,4,32,16
4/9/2023,51,35,10,14,17
4/10/2023,50,35,6,8,5
4/11/2023,27,47,12,14,17
4/12/2023,31,32,3,7,7
4/13/2023,40,50,4,9,7
4/14/2023,50,34,3,17,13
4/15/2023,65,52,12,27,53
4/16/2023,57,33,6,17,11
4/17/2023,51,32,4,19,13
4/18/2023,62,38,5,20,14
4/19/2023,51,50,9,33,27
4/20/2023,51,32,13,18,15
4/21/2023,49,32,8,18,13
4/22/2023,45,33,11,19,11
4/23/2023,45,34,8,21,5
4/24/2023,42,33,6,19,10
4/25/2023,33,33,5,18,11
4/26/2023,35,34,7,15,13
4/27/2023,50,34,10,16,13
4/28/2023,34,33,6,14,10
4/29/2023,52,34,9,18,18
4/30/2023,61,33,6,18,13
5/1/2023,56,50,12,21,10
5/2/2023,76,35,14,15,14
5/3/2023,52,35,16,18,13
5/4/2023,34,33,21,15,15
5/5/2023,47,34,24,23,15
5/6/2023,47,34,20,26,13
5/7/2023,54,37,37,17,19
5/8/2023,62,34,34,21,20
5/9/2023,47,35,36,21,17
5/10/2023,73,36,26,19,13
5/11/2023,65,36,21,16,13
5/12/2023,35,39,13,12,13
5/13/2023,54,36,20,17,12
5/14/2023,53,34,23,17,12
5/15/2023,54,37,24,25,17
5/16/2023,64,37,22,26,17
5/17/2023,58,37,22,22,15
5/18/2023,62,37,21,22,16
5/19/2023,77,37,23,23,16
5/20/2023,74,36,27,16,16
5/21/2023,67,37,26,22,15
5/22/2023,58,35,30,27,17
5/23/2023,67,35,33,18,21
5/24/2023,86,38,35,17,18
5/25/2023,75,38,29,20,17
5/26/2023,69,39,28,22,24
5/27/2023,75,38,23,22,12
5/28/2023,79,36,30,19,19
5/29/2023,78,37,32,19,15
5/30/2023,84,38,28,24,17
5/31/2023,66,37,26,21,24
6/1/2023,59,39,25,23,21
6/2/2023,74,38,25,21,12
6/3/2023,75,39,21,21,15
6/4/2023,64,38,24,21,13
6/5/2023,58,40,22,22,13
6/6/2023,57,37,25,14,13
6/7/2023,52,37,29,18,16
6/8/2023,62,39,22,15,17
6/9/2023,65,38,24,15,14
6/10/2023,57,37,22,18,13
6/11/2023,73,39,22,25,14
6/12/2023,62,38,20,22,15
6/13/2023,64,40,24,19,13
6/14/2023,68,37,22,15,13
6/15/2023,61,39,31,14,17
6/16/2023,70,37,24,14,15
6/17/2023,57,46,13,23,28
6/18/2023,58,37,39,12,15
6/19/2023,42,36,22,13,14
6/20/2023,56,38,36,11,15
6/21/2023,55,39,22,20,16
6/22/2023,63,37,40,16,22
6/23/2023,75,53,16,22,14
