,Tweet,Sentiment
0,minister of communication and informatics appreciates holding a digital government award for efforts to level public service administration of electronic system orders,Neutral
1,in appreciation of holding a digital government award for efforts to level public service administration of electronic system orders,Neutral
2,support achieve spbe receive digital government award director general semuel appreciate organizing digital government award efforts to level public service administration of electronic system orders,Positive
3,holding a digital government award for public service level efforts to administer electronic command systems,Neutral
4,quick command organize spbe electronic bus command system effective efficient web public service,Positive
5,the minister of communication  informatics  communication and information technology appreciated the implementation of the digital government award for efforts to level public service administration of electronic system commands,Positive
6,involvement contract supply road study design maintenance hospital information system electronic drug record ijn kait,Neutral
7,i evaluation of the electronic free order system work indicators for organizing ceiling fencing at the regional office of the ministry of law and human rights kalsel faisol ali,Positive
8,the head of the bureau invites the satker to support the establishment of an electronic bus command system for digital archives,Neutral
9,material for preparing an action plan for the implementation of an electronic bus command system for the regional office of the technical management unit for the environment  minister of law  human rights  work plan schedule material,Positive
10,refer to the letter of the secretary general of the minister of law ham septi number the results of the evaluation of the electronic bus command system spbe regional office of the environmental technical implementation unit the minister of law ham liaison,Positive
11,wrong attempt at quality level to organize an electronic bus command system spbe city order tangerang city government informatics information office diskominfo holds a risk management workshop spbe,Negative
12,head of affairs tu umar husein handshake spbe active socialization draw up an action plan to organize an electronic bus command system spbe environment kemenkumham ri,Negative
13,actively attended the head of information technology data center hermansyah siregar direction related to evaluation results held an electronic bus command system,Negative
14,spbe information electronic bus command system organizes orders for the benefits of information technology communication services spbe,Neutral
15,pangkal bun following up on the official letter of the secretariat general of the ministry of law and human rights  sek ti number  dated february  the results of the evaluation of the implementation of an electronic bus command system spbe kanwil upt kemenkumham community hall,Positive
16,zoom meeting on the theme of the results of the evaluation value of holding an electronic bus command system spbe regional office regional office technical implementation unit upt,Neutral
17,uu electronic transaction information number uu ite uu electronic transaction information number uu ite uu personal data pp number for conducting electronic transaction system,Neutral
18,certification consultation ceh purwakarta regency regional order visit in action in order to establish the spbe electronic bus command system according to regional regulation purwakarta district number,Positive
19,spbe s electronic bus command system organizes orders for the benefit of information and communication technology to serve government agencies for the administration of the state civil apparatus to conduct community business,Neutral
20,public relations team rb ti regional office of the ministry of law and human rights  sulsel carries out monitoring and evaluation of monitoring and evaluation of organizing an electronic bus command system spbe liberti sitinjak regional office of the ministry of law and human rights sulsel,Neutral
21,menkominfo uu ite load the basic material for maintaining the electronic transaction system of cybercrime,Neutral
22,product info malang regent s law regulates malang regent s holding number system for reporting business transaction data for regional taxpayers electronically for malang regional secretariat,Neutral
23,uu ite loads the basic material on maintaining the electronic transaction system of cybercrime,Neutral
